# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.38
1                       213.44
2                       210.65
4                       204.85
8                       207.51
16                      207.38
32                      211.00
64                      218.05
128                     214.28
256                    3452.15
512                    3558.36
1024                   5788.54
2048                   3751.27
4096                   4169.60
8192                   5306.33
16384                 11332.21
32768                 14066.70
65536                 18930.45
131072                30901.04
262144                53309.69
524288               103360.67
1048576              265950.31
