# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        22.23
1                      4704.57
2                      4688.22
4                      5271.38
8                      5285.62
16                     5194.84
32                     5168.65
64                     5202.24
128                    5275.56
256                    8246.94
512                    9393.19
1024                  14057.23
2048                  14799.51
4096                  17175.81
8192                  38702.27
16384                 84271.60
32768                116758.69
65536                188260.80
131072               307164.14
262144               558331.52
524288              1077646.24
1048576             2084380.64
