# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.97
1                      3611.39
2                      3570.71
4                      3626.85
8                      3677.19
16                     3665.73
32                     3726.95
64                     5433.93
128                    6756.98
256                    9405.69
512                   11223.80
1024                  13996.65
2048                  17413.65
4096                  27721.88
8192                  44323.75
16384                274644.52
32768                428345.39
65536                754513.24
131072              1499746.63
262144              2991651.46
524288              6004380.55
1048576            12136296.93
