# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.74
1                       229.30
2                       233.71
4                       225.60
8                       234.56
16                      230.08
32                      233.87
64                      243.06
128                     280.56
256                    3934.83
512                    4055.16
1024                   6202.25
2048                   4210.97
4096                   4635.38
8192                   5704.55
16384                 10824.03
32768                 15477.31
65536                 20424.30
131072                33689.14
262144                57784.81
524288               109088.80
1048576              474748.73
