# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.79
1                     23276.23
2                     22333.62
4                     23566.52
8                     22650.14
16                    25577.80
32                    25361.81
64                    23159.61
128                   20396.74
256                   24535.95
512                   22431.04
1024                  21791.03
2048                  23045.92
4096                  26839.52
8192                  32869.17
16384                 13972.82
32768                 22463.98
65536                 30187.36
131072                49568.18
262144                99671.62
524288               200945.82
1048576              392976.11
