# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.87
1                      5522.08
2                      5608.25
4                      5545.01
8                      5586.29
16                     5491.57
32                     6415.47
64                     7261.19
128                    9426.27
256                   11799.35
512                   14797.60
1024                  18788.90
2048                  25849.41
4096                  99979.22
8192                 137355.97
16384                241376.22
32768                358467.48
65536                653697.38
131072              1326980.41
262144              2577659.82
524288              5141685.61
1048576            10337899.65
