# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.76
1                     25253.12
2                     24778.83
4                     25114.37
8                     26957.76
16                    26932.96
32                    27306.62
64                    24241.70
128                   21772.58
256                   24842.03
512                   24216.58
1024                  21797.19
2048                  29007.07
4096                  33726.19
8192                  40188.36
16384                 19395.59
32768                 30440.19
65536                 33968.06
131072                88747.28
262144               171142.89
524288               350177.11
1048576              675647.26
