# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.85
1                      3585.83
2                      3511.95
4                      3527.77
8                      3582.60
16                     3589.08
32                     3646.58
64                     5409.96
128                    6737.65
256                    9584.41
512                   11350.52
1024                  13678.75
2048                  17532.14
4096                  27934.41
8192                  44828.44
16384                260343.88
32768                404485.64
65536                743684.33
131072              1484652.98
262144              2939258.72
524288              5884039.22
1048576            11816473.27
