# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.53
1                      3697.97
2                      3622.96
4                      3574.02
8                      3578.07
16                     3888.43
32                     6147.65
64                     6755.61
128                    8773.87
256                   10733.19
512                   25139.24
1024                  37245.37
2048                  40247.48
4096                  47776.00
8192                  77600.93
16384                157263.30
32768                315938.56
65536                520935.94
131072              1103942.71
262144              2325706.22
524288              4734134.92
1048576             9422259.18
