# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.66
1                      2378.20
2                      2368.98
4                      2370.09
8                      2380.80
16                     2398.70
32                     2425.26
64                     3370.08
128                    4281.84
256                    5755.04
512                    7035.09
1024                   7298.61
2048                   8800.88
4096                  12697.72
8192                  19804.54
16384                 33160.46
32768                102999.71
65536                182174.96
131072               363306.39
262144               702618.99
524288              1390894.97
1048576             2792131.68
