# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        24.98
1                      7425.30
2                      7427.39
4                      7189.13
8                      7200.43
16                     7369.31
32                     7442.56
64                     7317.37
128                    7393.68
256                   11069.16
512                   12755.78
1024                  18058.72
2048                  18974.59
4096                  23096.99
8192                  35272.03
16384                 78936.19
32768                145984.75
65536                250055.63
131072               401126.41
262144               746888.95
524288              1466632.64
1048576             2890710.07
