# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        20.48
1                      2641.01
2                      2619.46
4                      2769.13
8                      2602.50
16                     2801.70
32                     2644.32
64                     2653.20
128                    2639.52
256                    3937.00
512                    5465.69
1024                   6511.19
2048                   6723.72
4096                   8044.95
8192                  11492.31
16384                 18768.85
32768                 28547.85
65536                 67545.33
131072               126107.89
262144               228198.59
524288               404849.26
1048576              778713.69
