# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.74
1                     25306.07
2                     24684.09
4                     25009.72
8                     26865.61
16                    27163.00
32                    27218.66
64                    24166.79
128                   21785.81
256                   23380.54
512                   24100.89
1024                  22039.24
2048                  27993.42
4096                  33345.85
8192                  39617.55
16384                 18949.22
32768                 27805.17
65536                 41130.47
131072                87818.05
262144               174194.96
524288               190792.15
1048576              699703.94
