# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        17.75
1                        20.13
2                        18.79
4                        19.25
8                        19.30
16                       20.19
32                       19.38
64                       19.52
128                      19.36
256                      22.58
512                      23.94
1024                     27.29
2048                     37.17
4096                     52.74
8192                     97.11
16384                   216.15
32768                   422.54
65536                   770.71
131072                 1444.53
262144                 2719.26
524288                 5246.17
1048576               10400.91
2097152               20730.20
4194304               41307.14
