# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.45
1                       278.16
2                       264.76
4                       260.35
8                       256.71
16                      221.66
32                      198.86
64                      211.97
128                     208.73
256                    3473.17
512                    3586.33
1024                   5832.50
2048                   3900.19
4096                   4167.62
8192                   5328.98
16384                 10366.91
32768                 13812.51
65536                 19277.85
131072                31286.16
262144                53399.79
524288                99879.59
1048576              271759.73
