# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.81
1                       856.72
2                       827.81
4                       829.57
8                       858.14
16                      858.80
32                      886.47
64                     1473.17
128                    2830.76
256                    4660.32
512                    5302.93
1024                   5871.35
2048                   7493.22
4096                  11791.32
8192                  19824.75
16384                 37782.85
32768                 73045.89
65536                143451.37
131072               283989.67
262144               568838.93
524288              1149236.69
1048576             2291361.79
