# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       584.43
1                       588.90
2                       588.38
4                       587.36
8                       589.42
16                      590.34
32                      595.95
64                      603.31
128                     623.32
256                     977.60
512                    1316.26
1024                   1635.78
2048                   1108.85
4096                   1212.20
8192                   1615.72
16384                  2853.87
32768                  4270.61
65536                  7815.86
131072                17957.29
262144                38919.97
524288                75532.62
1048576              150107.67
2097152              295981.16
4194304              573474.14
