# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.55
1                       268.80
2                       245.03
4                       239.51
8                       243.19
16                      206.83
32                      183.98
64                      198.85
128                     195.44
256                    3498.11
512                    3626.98
1024                   5854.87
2048                   4010.23
4096                   4267.63
8192                   5373.25
16384                 10569.74
32768                 14065.33
65536                 19682.79
131072                31949.81
262144                53765.06
524288               102301.32
1048576              266741.92
