# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.54
1                      3086.35
2                      3050.39
4                      3101.01
8                      3240.11
16                     3309.04
32                     3385.18
64                     5618.64
128                    7766.47
256                    8367.45
512                    9477.05
1024                  13693.20
2048                  14322.33
4096                  17050.08
8192                  39761.49
16384                 81347.51
32768                115295.01
65536                157435.69
131072               336800.94
262144               718661.67
524288              1551262.33
1048576             3221827.07
