# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.40
1                       280.26
2                       272.75
4                       272.93
8                       273.04
16                      262.25
32                      205.36
64                      212.71
128                     199.56
256                    3571.56
512                    3749.97
1024                   5890.07
2048                   4124.35
4096                   4409.89
8192                   5378.08
16384                 32038.49
32768                 60295.66
65536                 50462.49
131072                83114.72
262144               116322.67
524288               193906.75
1048576              352929.86
