# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.85
1                     22232.79
2                     23479.85
4                     23735.59
8                     25054.17
16                    24618.57
32                    25217.59
64                    21734.99
128                   19947.15
256                   18467.40
512                   21058.31
1024                  19329.42
2048                  21690.27
4096                  23587.00
8192                  25331.75
16384                 10252.16
32768                 19591.34
65536                 36272.92
131072                49142.23
262144                93735.67
524288               190645.20
1048576              378746.58
