# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.62
1                      2487.72
2                      2967.10
4                      2971.95
8                      2960.72
16                     3005.11
32                     3032.44
64                     3892.28
128                    5641.30
256                    6958.18
512                    7082.25
1024                   7865.29
2048                   8969.50
4096                  13338.33
8192                  29941.88
16384                 53072.40
32768                 78668.92
65536                140215.38
131072               289064.30
262144               547960.95
524288              1043604.31
1048576             2239106.58
