# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.93
1                     28542.36
2                     29301.61
4                     29623.26
8                     31244.41
16                    32089.30
32                    32733.42
64                    27804.33
128                   27734.65
256                   29148.92
512                   32426.15
1024                  39590.59
2048                  50095.98
4096                  54879.74
8192                  62451.91
16384                 31836.87
32768                 41192.04
65536                 32010.02
131072                55667.13
262144               122409.92
524288               575447.39
1048576             1291013.66
