# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        33.11
1                     26128.15
2                     26014.51
4                     26349.60
8                     25954.04
16                    25970.67
32                    26152.72
64                    26585.52
128                   26870.46
256                   38504.08
512                   47767.50
1024                  69295.64
2048                  75677.33
4096                  90861.11
8192                 153621.97
16384                279527.75
32768                422318.64
65536                744169.49
131072              1408201.06
262144              2814489.68
524288              6152431.28
1048576            12810443.69
