# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        18.26
1                      1518.64
2                      1614.03
4                      1557.44
8                      1599.03
16                     1549.85
32                     1559.95
64                     1609.23
128                    1562.69
256                    2251.46
512                    3466.52
1024                   3538.90
2048                   3466.67
4096                   3991.51
8192                   5051.25
16384                  6733.84
32768                 11480.06
65536                 24184.98
131072                44509.61
262144                78050.85
524288               150712.05
1048576              310059.61
