# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.93
1                     26068.23
2                     25390.88
4                     26158.78
8                     28334.66
16                    28627.56
32                    28067.74
64                    31844.56
128                   26050.68
256                   24514.57
512                   25326.21
1024                  23566.00
2048                  33012.52
4096                  41110.25
8192                  47088.16
16384                 20754.58
32768                 23950.00
65536                 24904.42
131072                63632.72
262144               123618.64
524288               326584.51
1048576              702337.68
