# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       629.03
1                       623.78
2                       628.57
4                       620.79
8                       624.35
16                      623.77
32                      636.13
64                      648.57
128                     668.53
256                    1023.46
512                    1389.81
1024                   1712.73
2048                   1203.14
4096                   1333.63
8192                   1786.72
16384                  3657.04
32768                  5272.74
65536                  9374.59
131072                25119.58
262144                50711.77
524288                86075.94
1048576              153488.18
2097152              301277.64
4194304              595997.77
