# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.87
1                      2429.67
2                      2431.73
4                      2449.19
8                      2439.60
16                     2454.34
32                     2511.72
64                     3437.89
128                    4250.79
256                    5834.37
512                    7318.57
1024                   7502.37
2048                   8955.65
4096                  12510.97
8192                  20251.71
16384                 33404.52
32768                104715.82
65536                182917.88
131072               372877.91
262144               709253.25
524288              1397770.09
1048576             2789412.84
