# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        29.22
1                     14622.06
2                     14511.81
4                     14383.88
8                     14434.33
16                    14766.95
32                    14583.03
64                    14856.36
128                   14764.00
256                   22078.99
512                   23821.28
1024                  35925.12
2048                  39937.51
4096                  47263.10
8192                  81864.01
16384                162360.18
32768                321702.18
65536                467598.56
131072               891815.03
262144              1841157.16
524288              4190945.48
1048576             8686611.03
