# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.45
1                      5667.56
2                      5652.04
4                      5817.71
8                      5824.72
16                     8987.45
32                     9385.68
64                    13736.66
128                   13655.54
256                   17505.73
512                   57480.70
1024                  77979.05
2048                  87079.99
4096                 107749.46
8192                 164112.57
16384                324473.07
32768                474891.29
65536                920753.37
131072              1798346.70
262144              3735326.91
524288              7371701.22
1048576            14491131.24
