# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.57
1                       266.74
2                       268.40
4                       269.82
8                       269.35
16                      280.59
32                      290.42
64                     1198.21
128                    2262.69
256                    4109.39
512                    4455.45
1024                   4723.92
2048                   4664.63
4096                   6579.60
8192                   9959.42
16384                 17265.94
32768                 32381.65
65536                 61078.91
131072               118844.29
262144               231737.75
524288               461465.76
1048576              925807.77
