# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        35.13
1                     30383.79
2                     30681.99
4                     30352.81
8                     30612.31
16                    30697.20
32                    30584.88
64                    31336.96
128                   31129.34
256                   52439.78
512                   56855.40
1024                  76010.49
2048                  87766.42
4096                 105264.86
8192                 165448.04
16384                315595.72
32768                467800.74
65536                869258.76
131072              1681746.74
262144              3504435.29
524288              7474026.43
1048576            15966829.75
