# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.70
1                       246.39
2                       265.91
4                       267.42
8                       268.23
16                      279.52
32                      286.77
64                     1209.08
128                    2394.71
256                    4368.80
512                    4481.08
1024                   4673.97
2048                   5345.04
4096                   8113.08
8192                  12481.78
16384                 22450.67
32768                 43238.53
65536                 83591.52
131072               165019.66
262144               326537.66
524288               658775.73
1048576             1321056.24
