# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        17.68
1                        19.15
2                        20.90
4                        19.52
8                        19.26
16                       19.24
32                       20.08
64                       19.55
128                      19.84
256                      22.02
512                      24.72
1024                     27.87
2048                     36.47
4096                     53.30
8192                     97.77
16384                   217.62
32768                   423.30
65536                   775.14
131072                 1512.25
262144                 2716.68
524288                 5269.84
1048576               10399.36
2097152               20646.68
4194304               41223.56
