# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.34
1                      3498.50
2                      3574.31
4                      3797.72
8                      3865.63
16                     4046.83
32                     6167.82
64                     6644.23
128                    8654.88
256                   10563.78
512                   24980.89
1024                  37471.85
2048                  40354.80
4096                  48418.03
8192                  79934.26
16384                162389.79
32768                319211.92
65536                524623.14
131072              1100307.00
262144              2314535.45
524288              4719486.98
1048576             9293933.22
