# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.48
1                       213.63
2                       213.11
4                       210.07
8                       218.94
16                      211.93
32                      214.28
64                      227.54
128                     225.56
256                    3585.32
512                    3765.95
1024                   5946.79
2048                   4116.41
4096                   4352.49
8192                   5405.50
16384                 34661.65
32768                 47338.27
65536                 58143.90
131072                78334.49
262144               117705.56
524288               191144.30
1048576              352399.12
