# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        20.22
1                      2251.40
2                      2292.11
4                      2225.66
8                      2219.03
16                     2275.92
32                     2220.35
64                     2269.86
128                    2288.47
256                    3581.24
512                    4621.45
1024                   5709.21
2048                   5838.04
4096                   7255.81
8192                  10117.97
16384                 13332.18
32768                 28945.12
65536                 69611.57
131072               124461.31
262144               235511.41
524288               412336.89
1048576              799064.43
