# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.26
1                      2108.18
2                      2055.15
4                      2058.81
8                      2008.78
16                     2017.44
32                     2000.02
64                     2032.68
128                    2027.64
256                    3477.43
512                    4396.07
1024                   5409.61
2048                   5554.60
4096                   7078.45
8192                   9753.64
16384                 13837.66
32768                 28382.08
65536                 60799.81
131072               107019.61
262144               190333.16
524288               422031.21
1048576              956331.33
