# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.80
1                       349.11
2                       346.88
4                       344.54
8                       344.18
16                      366.87
32                      390.92
64                     1445.70
128                    2814.87
256                    4697.04
512                    5082.19
1024                   6168.94
2048                   8427.90
4096                  13068.82
8192                  22119.63
16384                 43480.25
32768                 84730.64
65536                165755.41
131072               323468.31
262144               667161.36
524288              1363557.02
1048576             2736760.61
