# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.68
1                       368.42
2                       370.74
4                       373.01
8                       374.08
16                      386.12
32                      391.45
64                     1227.36
128                    2402.12
256                    4354.34
512                    4557.21
1024                   4758.23
2048                   5475.88
4096                   7591.71
8192                  12683.73
16384                 23259.69
32768                 42497.69
65536                 85166.92
131072               165029.38
262144               328630.38
524288               659439.14
1048576             1318964.36
