# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.73
1                       243.21
2                       212.40
4                       193.90
8                       204.54
16                      201.43
32                      203.02
64                      211.70
128                     210.11
256                    3481.75
512                    3625.19
1024                   5905.36
2048                   3979.55
4096                   4292.16
8192                   5368.10
16384                 10598.36
32768                 14427.06
65536                 19927.33
131072                31984.76
262144                54137.57
524288                99258.42
1048576              268140.65
