# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.82
1                      6514.32
2                      6622.26
4                      6721.63
8                      6896.84
16                     7318.64
32                     9597.26
64                    11598.94
128                   15182.21
256                   18299.72
512                   48831.53
1024                  64507.97
2048                  77065.23
4096                  88891.02
8192                 149389.05
16384                263224.07
32768                423601.05
65536                785125.08
131072              1612072.11
262144              3378883.75
524288              7195565.84
1048576            14162956.57
