# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.48
1                        85.20
2                        82.97
4                        83.41
8                        82.73
16                       82.78
32                       87.62
64                       94.39
128                     105.11
256                    2091.76
512                    2260.72
1024                   3771.32
2048                   2382.84
4096                   2749.03
8192                   3355.99
16384                  4889.25
32768                  8023.90
65536                 13535.11
131072                24785.14
262144                47464.90
524288                92206.92
1048576              181381.85
