# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.81
1                     24840.99
2                     26377.42
4                     26725.32
8                     28773.03
16                    28547.39
32                    29139.16
64                    24987.50
128                   25974.03
256                   24565.84
512                   25653.54
1024                  23790.34
2048                  37967.23
4096                  44012.33
8192                  47812.67
16384                 23981.74
32768                 24662.00
65536                 51513.05
131072               132184.35
262144               203727.23
524288               492234.96
1048576             1006320.67
