# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         6.13
1                     29757.04
2                     28669.97
4                     29708.56
8                     31699.85
16                    32511.97
32                    32513.26
64                    27676.44
128                   27507.71
256                   30290.10
512                   30456.25
1024                  34955.53
2048                  48967.52
4096                  55414.61
8192                  65569.13
16384                 21054.22
32768                 19820.48
65536                 27496.39
131072                61882.70
262144               308494.63
524288               645007.47
1048576              697525.43
