# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.84
1                      2984.25
2                      2930.84
4                      3107.05
8                      3107.96
16                     3184.56
32                     3075.82
64                     5473.13
128                    7763.53
256                    8120.94
512                    9626.76
1024                  14050.74
2048                  14441.87
4096                  17339.18
8192                  36108.93
16384                 79954.15
32768                103572.24
65536                156277.08
131072               336535.71
262144               719375.86
524288              1545483.18
1048576             3236390.21
