# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.70
1                      5404.67
2                      5423.53
4                      5490.05
8                      5512.38
16                     5541.15
32                     6353.96
64                     7292.98
128                    9446.00
256                   11759.68
512                   14369.41
1024                  18725.78
2048                  25321.94
4096                  97772.74
8192                 134184.31
16384                233380.20
32768                351722.04
65536                649327.73
131072              1340227.74
262144              2562766.31
524288              5194103.43
1048576            10472493.63
