# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.82
1                     25186.88
2                     26515.98
4                     26822.09
8                     27305.37
16                    28499.38
32                    29529.57
64                    24984.15
128                   25199.24
256                   26422.63
512                   26221.44
1024                  24690.65
2048                  39263.84
4096                  45611.16
8192                  54296.58
16384                 25169.25
32768                 30564.38
65536                 35143.85
131072               129465.89
262144               262070.88
524288               412723.82
1048576              378846.68
