# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.71
1                       304.03
2                       291.30
4                       290.58
8                       292.54
16                      296.64
32                      307.01
64                      302.43
128                     317.37
256                    3949.55
512                    4142.80
1024                   6365.83
2048                   4281.34
4096                   4783.96
8192                   5796.71
16384                 10763.09
32768                 15143.40
65536                 21617.31
131072                33817.74
262144                58378.37
524288               104045.13
1048576              479294.34
