# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.65
1                       419.17
2                       439.78
4                       447.52
8                       441.43
16                      464.02
32                      497.37
64                     1358.24
128                    2600.83
256                    4343.65
512                    4846.68
1024                   5284.24
2048                   6429.19
4096                  10354.05
8192                  17262.73
16384                 33169.23
32768                 61913.78
65536                123420.96
131072               246399.58
262144               486366.31
524288               974677.57
1048576             1944108.34
