# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.81
1                       325.45
2                       266.40
4                       273.19
8                       271.33
16                      285.46
32                      294.42
64                     1220.58
128                    2408.70
256                    4471.84
512                    4576.94
1024                   4802.46
2048                   5341.03
4096                   8075.49
8192                  12233.44
16384                 22887.15
32768                 43844.82
65536                 85600.11
131072               164773.99
262144               327965.76
524288               657606.38
1048576             1319789.43
