# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.51
1                       188.40
2                       191.31
4                       185.88
8                       193.27
16                      183.19
32                      183.35
64                      199.13
128                     532.01
256                    3560.37
512                    3695.02
1024                   5882.92
2048                   3924.48
4096                   4249.08
8192                   5364.39
16384                 39771.13
32768                 57814.36
65536                 60613.04
131072                77196.22
262144               119312.93
524288               195732.16
1048576              353899.99
