Iniciando testes de Rede...

Iniciando bateria: 4... 

Iniciando rodada de testes: 1 bateria: 4

Iniciando teste osu_allgather_ seg 11 set 2023 14:22:32 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
Iniciando teste osu_multi_lat_ seg 11 set 2023 16:03:20 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       468.34
1                       462.98
2                       463.51
4                       462.39
8                       461.45
16                      461.57
32                      462.24
64                      464.78
128                     468.19
256                     627.44
512                     938.01
1024                   1608.93
2048                   1020.72
4096                   1087.51
8192                   1451.52
16384                  2295.15
32768                  3869.42
65536                  6637.47
131072                12325.30
262144                23637.03
524288                46030.01
1048576               90723.68
2097152              179842.68
4194304              358465.80
Iniciando teste osu_scatter_ seg 11 set 2023 16:31:59 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.64
1                        81.83
2                        85.01
4                        82.58
8                        85.51
16                       87.16
32                       91.92
64                       98.95
128                    1038.11
256                    2101.24
512                    2985.34
1024                   3061.67
2048                   2474.17
4096                   2960.96
8192                   4102.48
16384                  6546.61
32768                 10764.27
65536                 19221.27
131072                36182.28
262144                69861.21
524288               136681.80
1048576              270705.12
Rodada 2 bateria: 4 
Iniciando rodada de testes: 3 bateria: 4

Iniciando teste osu_allgather_ seg 11 set 2023 16:36:39 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.62
1                      1279.29
2                      1278.53
4                      1243.11
8                      1307.33
16                     1290.61
32                     1319.95
64                     1325.37
128                    2013.71
256                    2583.92
512                    3644.04
1024                   3944.95
2048                   3594.95
4096                   4348.72
8192                   5950.22
16384                  8227.98
32768                 13312.58
65536                 22506.17
131072                40662.93
262144                75136.61
524288               145196.84
1048576              287220.48
Iniciando teste osu_alltoall_ seg 11 set 2023 16:44:14 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.35
1                      1584.49
2                      1466.91
4                      1525.52
8                      1599.64
16                     1455.61
32                     1442.75
64                     1484.85
128                    1534.67
256                    2150.51
512                    3457.79
1024                   3389.27
2048                   3276.29
4096                   3833.43
8192                   4537.47
16384                  6611.74
32768                 11222.68
65536                 23984.06
131072                43312.26
262144                78394.71
524288               151001.67
1048576              298539.12
Iniciando teste osu_alltoallv_ seg 11 set 2023 16:46:03 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        17.27
1                      1643.26
2                      1567.87
4                      1582.52
8                      1560.66
16                     1616.16
32                     1582.18
64                     1568.80
128                    1587.97
256                    2191.39
512                    3357.35
1024                   3307.93
2048                   3203.28
4096                   3627.88
8192                   4237.35
16384                  6476.65
32768                 11128.36
65536                 22961.19
131072                43268.80
262144                79319.68
524288               152500.61
1048576              302870.87
Iniciando teste osu_barrier_ seg 11 set 2023 16:47:52 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1278.00
Iniciando teste osu_bcast_ seg 11 set 2023 16:47:55 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.41
1                        83.60
2                        85.53
4                        86.67
8                        86.99
16                       86.69
32                       90.43
64                       99.07
128                     104.41
256                    2100.80
512                    2230.81
1024                   3709.40
2048                   2311.42
4096                   2639.04
8192                   3347.89
16384                  4858.27
32768                  8006.96
65536                 13398.66
131072                24812.51
262144                47253.21
524288                91828.02
1048576              181232.07
Iniciando teste osu_gather_ seg 11 set 2023 16:51:49 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.73
1                      7206.17
2                      6667.59
4                      7223.50
8                      5938.18
16                     7546.98
32                     8381.72
64                     7876.79
128                    9460.53
256                    4533.61
512                    6113.12
1024                   6063.73
2048                   6611.13
4096                   6632.92
8192                   7451.68
16384                  5486.02
32768                  9370.72
65536                 17604.33
131072                34239.34
262144                66944.86
524288               131885.37
1048576              261372.81
Iniciando teste osu_multi_lat_ seg 11 set 2023 17:09:56 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       458.59
1                       451.71
2                       455.06
4                       448.70
8                       450.94
16                      454.43
32                      451.84
64                      454.94
128                     455.56
256                     595.66
512                     947.45
1024                   1566.79
2048                   1002.97
4096                   1061.81
8192                   1445.84
16384                  2304.28
32768                  3873.68
65536                  6650.96
131072                12368.33
262144                23616.25
524288                45918.29
1048576               90511.82
2097152              179547.26
4194304              358026.29
Iniciando teste osu_scatter_ seg 11 set 2023 17:38:24 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.81
1                        84.78
2                        86.74
4                        86.79
8                        86.74
16                       87.83
32                      102.61
64                      121.61
128                    1088.34
256                    2190.20
512                    3024.83
1024                   3033.18
2048                   2498.87
4096                   3004.45
8192                   4128.70
16384                  6587.36
32768                 10746.18
65536                 19107.69
131072                36112.50
262144                69734.11
524288               136750.87
1048576              270665.50
Rodada 3 bateria: 4 
Iniciando rodada de testes: 4 bateria: 4

Iniciando teste osu_allgather_ seg 11 set 2023 17:43:07 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.50
1                      1461.76
2                      1422.98
4                      1433.10
8                      1440.12
16                     1450.47
32                     1443.12
64                     1467.46
128                    2213.82
256                    2744.18
512                    3472.75
1024                   4054.97
2048                   3558.27
4096                   4219.97
8192                   5684.17
16384                  8228.37
32768                 12956.78
65536                 22076.11
131072                40071.96
