# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.58
1                      2362.90
2                      2330.22
4                      2344.36
8                      2345.45
16                     2365.01
32                     2399.93
64                     3335.48
128                    4111.27
256                    5782.89
512                    7014.34
1024                   7284.83
2048                   8777.84
4096                  13050.96
8192                  20993.84
16384                 34486.24
32768                113819.89
65536                181805.47
131072               361269.28
262144               703731.14
524288              1400575.57
1048576             2783506.00
