# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        22.21
1                      5032.18
2                      5042.64
4                      4969.73
8                      4890.83
16                     4911.63
32                     4911.84
64                     4982.59
128                    5137.71
256                    7922.19
512                    8976.78
1024                  13396.02
2048                  14209.92
4096                  16717.49
8192                  31171.69
16384                 73674.83
32768                116631.14
65536                183809.30
131072               299999.64
262144               554082.98
524288              1080943.80
1048576             2103472.43
