# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       700.64
1                       702.31
2                       698.30
4                       698.44
8                       703.94
16                      701.75
32                      706.39
64                      717.84
128                     737.68
256                    1048.80
512                    1445.11
1024                   1759.29
2048                   1287.86
4096                   1494.51
8192                   2150.68
16384                  4302.06
32768                  6499.23
65536                 12550.37
131072                32474.51
262144                62223.30
524288               106198.25
1048576              204058.40
2097152              380909.25
4194304              808756.08
