# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        27.07
1                     11735.85
2                     12107.50
4                     14937.56
8                     14067.14
16                    11483.72
32                    11684.47
64                    11918.02
128                   11350.82
256                   17859.42
512                   18648.21
1024                  28248.57
2048                  30930.22
4096                  36315.51
8192                  93957.63
16384                162681.00
32768                276415.93
65536                401052.46
131072               732620.27
262144              1463886.00
524288              3105183.25
1048576             6879522.39
