# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.75
1                       849.78
2                       831.01
4                       846.73
8                       885.49
16                      866.08
32                      921.00
64                     1497.60
128                    2875.76
256                    4699.49
512                    5283.51
1024                   5947.02
2048                   7588.58
4096                  12134.71
8192                  20135.35
16384                 38196.64
32768                 72450.59
65536                142808.84
131072               286640.87
262144               572616.00
524288              1148270.06
1048576             2300428.55
