# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.37
1                       149.70
2                       152.53
4                       147.00
8                       147.19
16                      148.54
32                      147.66
64                      160.32
128                     246.76
256                    3272.52
512                    3305.56
1024                   5683.23
2048                   3621.73
4096                   4033.50
8192                   5118.99
16384                 10628.03
32768                 13379.94
65536                 18586.08
131072                28905.42
262144                51554.35
524288                92035.46
1048576              181364.05
