# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        28.96
1                     15240.04
2                     14865.40
4                     14897.55
8                     15171.50
16                    15526.07
32                    15361.34
64                    15072.63
128                   15373.86
256                   22313.01
512                   24323.93
1024                  37893.09
2048                  40534.92
4096                  49889.66
8192                  84611.75
16384                160137.54
32768                327710.79
65536                467439.75
131072               847933.37
262144              1640768.32
524288              3512052.87
1048576             7583971.45
