# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.57
1                      1946.98
2                      1946.55
4                      1941.53
8                      1955.97
16                     1953.72
32                     1994.32
64                     2688.90
128                    3249.06
256                    5008.72
512                    5517.17
1024                   5788.89
2048                   6236.92
4096                   8239.56
8192                  11562.17
16384                 18315.23
32768                 29536.33
65536                 56014.19
131072                95997.99
262144               180355.37
524288               355172.85
1048576              686018.48
