# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.89
1                       249.74
2                       246.54
4                       248.28
8                       248.14
16                      265.05
32                      277.12
64                     1227.13
128                    2404.49
256                    4383.84
512                    4576.10
1024                   4769.77
2048                   5411.90
4096                   8169.72
8192                  12898.35
16384                 23011.62
32768                 43531.82
65536                 83829.04
131072               164928.29
262144               326834.67
524288               658231.43
1048576             1319907.36
