# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        25.39
1                      7458.66
2                      7378.93
4                      7386.92
8                      7550.57
16                     7322.27
32                     7513.46
64                     7626.92
128                    7284.62
256                   11032.73
512                   12359.99
1024                  18519.58
2048                  19668.34
4096                  22911.68
8192                  31960.91
16384                 75026.09
32768                138276.38
65536                253027.14
131072               397207.97
262144               725637.08
524288              1446096.74
1048576             2885265.00
