# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       673.49
1                       679.25
2                       678.64
4                       680.12
8                       677.81
16                      682.11
32                      691.69
64                      696.46
128                     717.24
256                    1037.98
512                    1443.54
1024                   1736.62
2048                   1290.56
4096                   1493.23
8192                   2156.36
16384                  4230.21
32768                  6516.69
65536                 12431.63
131072                32165.71
262144                59260.27
524288               107781.57
1048576              207382.05
2097152              381103.24
4194304              808376.74
